"This colour naming dataset was collected @colornaming.net and published in Mylonas, D., & MacDonald, L. (2016). Augmenting basic colour terms in English. Color Research & Application, 41(1), 32�42. https://doi.org/10.1002/col.21944",,,,
It is licenced under CC BY-NC (Attribution-NonCommercial): https://creativecommons.org/licenses/by-nc/4.0/deed.en,,,,
Author: Dimitris Mylonas: dimitris.mylonas@nulondon.ac.uk,,,,
,,,,
sample_id,colour_name,R,G,B
201,light-blue,97,124,164
224,pale bright blue,100,191,172
312,Bright green,36,168,131
385,salmon,197,89,74
399,Pale purple,171,96,156
440,light yellow,227,239,79
470,Dark-pink,173,47,99
470,dark pink,173,47,99
539,Purple,144,55,175
540,bright purple,157,45,164
561,dark purple,112,7,165
2,black,28,28,28
18,black,12,30,40
25,dark green,64,75,60
27,bluish grey,53,76,77
29,dark grey,69,71,88
46,MINT GREEN,153,181,169
52,warm white,244,225,221
145,burgundy,64,4,3
200,gun metal blue,85,126,163
212,apricot,225,160,128
332,pink,205,125,145
421,green,28,199,142
467,purple,152,60,138
559,blue,51,48,186
18,dark pine green,12,30,40
35,light-khaki,114,126,106
74,teal,0,55,66
79,plum,64,40,67
98,GREY,104,91,122
126,vanilla,223,199,149
146,prussian blue,0,28,66
178,dusty-rose,114,51,74
204,mauve,139,112,154
257,brown fawn,96,23,0
369,Rusty red,140,24,42
428,lavender blue,151,171,249
448,Light turquoise,23,255,222
460,pumpkin,174,56,17
506,violet,124,16,133
561,purple,112,7,165
3,grey,49,49,49
96,blueraf,74,99,124
96,blueraf,74,99,124
193,green,53,137,110
269,salmon,156,69,80
288,purple,128,79,132
292,fuchsiaia,152,69,97
411,orange,226,164,51
418,green,129,193,70
433,pink,227,149,208
447,turquoise,53,255,212
450,blue,36,36,122
515,purple light,125,106,212
526,pink,234,140,237
571,fuchsiaia,205,57,183
592,fuchsiaia,222,0,197
9,light grey,202,202,201
31,earthy red,89,66,72
51,warm grey,188,171,174
173,dark mauve,84,62,109
191,green,69,136,95
313,pale bluey green,15,168,139
350,cyan,70,223,218
362,pink,255,178,206
374,purple,78,58,135
413,mustard,205,173,17
417,lime,155,188,39
486,Light-magenta,181,126,212
498,light green,55,230,134
550,mauve,149,129,255
561,purple,112,7,165
588,purple,134,86,255
591,magenta,207,33,215
591,magenta,207,33,215
31,brown,89,66,72
31,purple dark brown,89,66,72
67,dark green brown,57,49,2
76,dark blue,25,51,75
99,mid-mauve,114,88,116
151,BLACK,53,9,48
170,mid blue,24,75,114
301,mustard yellow,191,139,54
465,MID PURPLE,131,71,156
468,dark magenta,161,55,126
480,Lime-green,47,171,52
536,Ultra marine blue,64,84,202
537,mauve,106,73,193
559,Royal blue,51,48,186
41,grey,137,118,122
77,dark grey,44,47,76
83,BROWN,131,85,79
83,Brown,131,85,79
97,grey,91,95,125
113,blue,98,159,158
168,Green,0,84,63
289,Moave,135,76,125
356,VERYLIGHT BLUE,199,194,255
365,DARK BLUE,50,0,73
377,Moave,111,43,117
399,pink,171,96,156
413,yellow,205,173,17
492,yellow,255,189,41
555,pink,238,93,185
570,Pink,192,68,198
576,Clear blue,47,0,160
89,boring green,79,104,64
98,average-purple,104,91,122
107,dirty yellow,159,150,96
205,purple,147,110,149
221,turquoise,122,190,143
265,plum purple,87,22,71
275,Burnt orange,140,84,14
376,violetpurple,103,48,123
380,Nice purple,131,29,88
410,bright orange,235,159,65
416,bright-yellow,171,184,14
460,Blood orange,174,56,17
546,shocking pink,255,81,111
596,shocking pink,246,53,254
12,dark brown,45,21,25
15,charcoal,22,31,20
105,skin tone,178,142,109
136,light blue,179,205,228
153,purple,58,5,41
173,purple,84,62,109
274,burnt sienna,146,80,27
303,ochre,174,147,35
340,light yellow,200,210,92
353,cyan,81,218,249
369,maroon,140,24,42
380,purple,131,29,88
381,magenta,135,26,77
382,salmon,194,88,110
383,salmon,196,87,99
396,violet,139,108,181
415,ochre,186,180,0
567,Violet,128,98,235
4,grey,72,72,72
12,black,45,21,25
50,light-grey,182,172,182
192,veridian,59,137,104
231,verylight blue,149,177,216
315,green,0,168,158
321,mid blue,71,157,201
338,Yellow,219,204,86
347,light-green,93,223,189
373,Blue,54,65,139
467,rose,152,60,138
507,dark rose,133,0,124
525,very light magenta,214,148,253
526,Light magenta,234,140,237
552,light magenta,194,115,233
578,magenta,112,60,216
578,purple,112,60,216
41,warm grey,137,118,122
154,maroon,117,51,60
180,coral,171,104,101
189,khaki,110,131,56
219,green,164,184,104
219,PALE GREEN,164,184,104
305,Olive,157,153,30
320,blue,47,160,198
342,GREEN,166,217,117
363,navy blue,24,14,84
390,green,74,138,11
409,orange,242,154,79
412,yellow,217,168,35
497,green,110,227,99
584,pink,244,76,218
12,dark brown,45,21,25
60,white,235,226,234
100,mauve,121,86,107
144,browny red,64,1,21
198,turquoise,45,133,155
340,yellow,200,210,92
350,cyan,70,223,218
368,crimson,140,22,55
428,light blue,151,171,249
428,sky blue,151,171,249
444,mint green,119,255,166
448,turquoise,23,255,222
457,scarlet,178,45,74
464,purple,120,76,164
507,scarlet,133,0,124
544,pink,193,0,102
61,light grey,241,225,228
61,perl,241,225,228
139,LIGHT VIOLET,218,194,217
189,Green,110,131,56
198,greenish blue,45,133,155
235,VIOLET,200,163,200
353,turquoise,81,218,249
357,violet,212,191,255
406,coral,255,144,124
520,hot pink,199,74,156
530,lime green,112,255,99
570,fuchsia,192,68,198
584,hot pink,244,76,218
66,ochre,65,46,7
137,Pale mauve,193,201,228
196,bluegreen,28,136,136
212,skin,225,160,128
215,wheat,205,171,99
221,light green,122,190,143
270,russet,157,69,70
315,turquoise,0,168,158
339,yellow,212,206,86
423,Greenish blue,0,199,162
458,hot red,178,47,57
487,magenta,197,121,200
521,bright-pink,209,68,136
534,pinky red,199,0,45
55,lime,219,234,203
80,purple,70,39,60
87,olive,106,97,47
168,Dark-green,0,84,63
177,purple,111,52,81
185,Olive,150,118,48
221,appale green,122,190,143
236,pink,212,160,187
240,pale yellow,250,229,141
260,Purple,55,38,96
398,light purple,162,100,165
481,blue,0,156,234
522,dark pink,213,65,122
533,hot pink,197,0,85
583,pink,230,86,236
590,purple,186,58,231
596,pink,246,53,254
13,dark brown,42,24,12
17,grey green,10,31,33
78,bluegrey,57,43,72
109,pale green,131,157,111
126,sand,223,199,149
156,red brown,117,52,47
163,green,68,77,0
169,dark-aqua,0,79,110
173,dark lilac,84,62,109
180,pale pink,171,104,101
194,pale green,42,137,122
231,pale-blue,149,177,216
326,lilac,160,138,197
328,lilac,181,132,183
364,Dark blue,40,7,78
513,rich blue,0,125,220
533,rose,197,0,85
555,pink,238,93,185
9,SNOW WHITE,202,202,201
21,dark burgundy,43,22,33
34,beige,128,123,98
94,blue,48,105,116
100,muted purple,121,86,107
151,plum purple,53,9,48
220,light green,149,187,116
240,light yelloworange,250,229,141
334,very light orange,255,188,113
344,light green,124,222,155
356,Verylight blue,199,194,255
396,light purple,139,108,181
407,peach,253,146,108
428,Sky blue,151,171,249
449,bright light shade blue,0,255,235
458,red orange mid shade,178,47,57
512,orange,214,76,18
598,bright navy blue,61,0,225
12,dark brown,45,21,25
13,dark brown,42,24,12
14,dark-grey,33,28,8
71,dark green,13,56,44
148,dark grey,41,16,58
162,mid brown,83,72,0
184,tan,162,112,62
198,Saxe-blue,45,133,155
220,light green,149,187,116
296,pale-pinky-orange,212,125,110
305,Yellowochre,157,153,30
313,Turquoise,15,168,139
322,light blue,94,154,203
411,orangey yellow,226,164,51
464,violet,120,76,164
469,puce,168,50,111
63,maroon,78,37,38
65,Brown,71,42,17
107,khaki,159,150,96
108,olive,147,153,99
129,chartreuse,183,211,159
231,sky blue,149,177,216
312,green,36,168,131
422,green,0,199,152
438,sunshine yellow,250,232,76
479,grass green,90,168,0
489,pink,217,113,175
541,fuchsia,167,36,151
559,Blue,51,48,186
1,Black,0,0,0
47,grey,151,181,179
47,light grey,151,181,179
96,grey,74,99,124
106,beige,169,146,100
127,pink or green,212,203,145
141,white,231,192,199
178,GREY,114,51,74
251,white,255,216,255
367,brown,138,23,66
370,BROWN,139,29,30
386,light-brown,196,92,57
396,bluegrey,139,108,181
484,light blue,148,137,228
34,medium grey,128,123,98
45,light grey,165,180,154
45,light grey,165,180,154
82,dusk,130,85,88
88,army green,95,101,51
91,sea green,56,106,89
161,burnt sienna,89,70,0
204,light purple,139,112,154
314,green,0,168,147
419,Appale green,104,196,96
478,orange,211,130,0
501,purple,31,0,101
508,hot pink,217,64,107
561,purple,112,7,165
565,Red,239,31,29
570,magenta,192,68,198
578,violet,112,60,216
22,brown,91,66,63
79,dark purple,64,40,67
109,Light green,131,157,111
141,whitish pink,231,192,199
153,maroon,58,5,41
226,turquoise,95,190,187
236,lilac,212,160,187
236,lilac,212,160,187
244,mint green,200,242,158
294,peach pink,210,124,128
296,peach pink,212,125,110
315,bluish green,0,168,158
334,light-orange,255,188,113
373,blue,54,65,139
400,Dark pink,179,93,146
454,purple,90,0,97
457,dark pink,178,45,74
21,Dark brown,43,22,33
131,pale green,157,214,189
140,creamy pink,225,193,208
147,navy blue,22,23,65
182,dark beige,169,107,78
184,TAN,162,112,62
199,cerulean blue,59,131,159
242,creamy yellow,229,236,141
251,light pink,255,216,255
275,fawn brown,140,84,14
330,pink,195,128,166
330,rose pink,195,128,166
480,jade green,47,171,52
9,light-grey,202,202,201
68,petroleum green,47,52,12
81,bordeaux,74,37,54
91,olive green,56,106,89
125,ochre,232,195,159
138,light grey,206,197,225
171,blue,42,73,115
208,light red,166,105,121
241,yellow,244,231,139
325,purple blue,148,142,200
338,yellow,219,204,86
358,lilac,222,188,249
405,SALMON,255,143,137
428,electric blue,151,171,249
428,light blue,151,171,249
470,fuchsia,173,47,99
37,mid grey slate,101,128,127
173,lavender,84,62,109
185,dark tan,150,118,48
222,Mint green,113,191,153
222,mint green,113,191,153
265,aubergine,87,22,71
296,peach,212,125,110
342,pea green,166,217,117
359,bubblegum pink,238,184,237
402,pink,191,88,121
417,appale green,155,188,39
421,Bright mint green,28,199,142
514,sky blue,90,115,218
533,cherry,197,0,85
588,Lilac,134,86,255
58,white,213,232,239
112,Green-blue,100,160,147
155,Brown,117,51,53
236,pink,212,160,187
241,yellow,244,231,139
275,brown,140,84,14
378,Purple,118,39,110
382,pink,194,88,110
449,Cyan,0,255,235
456,pink,176,45,86
456,purple pink,176,45,86
466,purple,142,66,148
472,pink,237,106,119
488,pink,208,117,189
532,moave,68,3,133
574,PINK,234,17,124
599,pink purple,199,9,250
38,grey,106,125,134
164,green,59,79,11
170,navy,24,75,114
262,PURPLE,72,31,86
263,purple,77,28,82
360,hyacint,246,182,228
370,bordeaux,139,29,30
393,blue,67,124,192
437,yellow,255,228,80
437,yellow,255,228,80
467,violet,152,60,138
518,violet,177,86,182
541,purple,167,36,151
578,Blue,112,60,216
26,greenish grey,57,76,69
27,Dark greenish grey,53,76,77
27,green grey,53,76,77
145,reddish brown,64,4,3
180,dark salmon,171,104,101
209,salmon,223,158,159
246,extra light turquoise,156,248,201
252,bordeaux,95,16,53
316,turquoise,0,167,167
330,pink,195,128,166
334,yellowish orange,255,188,113
379,mauve,125,33,99
404,reddish pink,253,143,148
433,light pink,227,149,208
486,light purple,181,126,212
489,dark pink,217,113,175
501,blue,31,0,101
539,purple,144,55,175
21,dark brown,43,22,33
129,light green,183,211,159
142,dark-purple,62,2,32
157,chocolate brown,114,56,32
181,pale red,171,105,95
223,pale blue,108,191,160
243,light green,219,238,145
321,Blue,71,157,201
326,light purple,160,138,197
395,Purple,124,112,186
498,Bright green,55,230,134
512,bright orange,214,76,18
520,bright pink,199,74,156
580,bright purple,155,27,193
591,pink,207,33,215
57,pale cyan,203,236,233
90,DULL GREEN,64,106,80
243,pale yellow,219,238,145
264,dark purple,82,25,78
269,Dark pink,156,69,80
313,cyan,15,168,139
319,Blue,0,163,193
331,magenta,202,126,154
331,pale purple,202,126,154
339,mustard,212,206,86
387,orange,191,96,42
418,lime green,129,193,70
442,Pale-yellow,181,249,111
449,cyan,0,255,235
468,Purple,161,55,126
559,blue,51,48,186
17,black,10,31,33
17,black,10,31,33
34,khaki,128,123,98
191,prussian green,69,136,95
210,napales--pink,225,158,153
216,Mustard-yellow,196,174,94
230,light ultramarine,138,179,215
233,pale violet,182,168,211
257,venetian red,96,23,0
385,Orange,197,89,74
386,cadmium orange,196,92,57
390,grass green,74,138,11
499,pale-viridian,0,231,160
513,blue,0,125,220
544,deep-pink,193,0,102
584,mauve,244,76,218
111,cyan,105,160,138
115,pale blue,114,155,172
146,sea green,0,28,66
173,dark blue,84,62,109
173,dark blue,84,62,109
179,pale magenta,170,104,108
181,maroon purple,171,105,95
259,dark blue,37,43,100
274,brick,146,80,27
296,pink,212,125,110
317,cyan,0,166,177
320,cyan,47,160,198
332,lilac,205,125,145
377,purple,111,43,117
402,magenta,191,88,121
560,royal blue,91,32,175
600,violet,127,0,255
122,light pink,235,191,191
151,purple,53,9,48
199,blue,59,131,159
274,brown,146,80,27
276,brown,133,87,0
278,green,57,109,20
312,green,36,168,131
337,LIGHT ORANGE,228,201,89
337,Light orange,228,201,89
441,yellow,212,243,87
445,light green,90,255,189
567,light blue,128,98,235
578,light purple,112,60,216
600,Blue,127,0,255
17,algae-green,10,31,33
52,yellowish-white,244,225,221
136,cotton candy blue,179,205,228
137,light-sky-blue,193,201,228
165,forest green,45,81,26
199,medium sea blue,59,131,159
263,purple,77,28,82
313,teal,15,168,139
313,TEAL BLUISH,15,168,139
335,yellowish-pink,248,193,104
344,sea green,124,222,155
363,navy blue,24,14,84
364,dark-purple,40,7,78
432,cotton candy pink,218,153,218
433,pink,227,149,208
483,blue,121,143,233
554,Pink,226,100,203
102,flesh,181,138,139
138,Off white,206,197,225
155,red clay,117,51,53
157,brown,114,56,32
169,dusk blue,0,79,110
174,purple,91,60,104
196,green blue,28,136,136
197,turquoise,33,134,150
231,lilac,149,177,216
231,sky blue,149,177,216
234,light pink,190,166,207
266,Deep purple,90,19,65
267,maroon,93,18,59
301,light orange,191,139,54
328,mauve,181,132,183
451,violet,61,27,115
488,PINK,208,117,189
42,pale rose,192,170,166
74,green tinted blue,0,55,66
88,pine green,95,101,51
90,bluetinted green,64,106,80
128,vanilla,201,206,147
177,lilac,111,52,81
189,green,110,131,56
215,light ochre,205,171,99
251,rose,255,216,255
282,cerulean-blue,29,101,151
313,turquoise,15,168,139
313,Turquoise,15,168,139
333,salmon,255,185,122
388,orange,183,102,25
444,bright turquoise,119,255,166
542,pink,178,21,136
565,scarlet red,239,31,29
568,purple,157,88,222
29,bluegrey,69,71,88
52,OFF WHITE,244,225,221
52,off white,244,225,221
142,maroon,62,2,32
166,green,7,83,50
186,Browny yellowgreen,143,121,43
267,purple,93,18,59
298,orange,209,129,87
322,blue,94,154,203
398,light purple,162,100,165
402,Pink,191,88,121
408,orange,249,150,94
445,emerald green,90,255,189
469,PINK,168,50,111
490,pink,226,110,158
499,Emerald green,0,231,160
546,dark pink,255,81,111
27,green,53,76,77
87,green,106,97,47
143,BROWN,63,1,27
160,brown,95,67,0
212,orange,225,160,128
212,salmon,225,160,128
266,purple,90,19,65
351,blue,67,222,227
353,blue,81,218,249
407,orange,253,146,108
445,green,90,255,189
497,green,110,227,99
545,pink,255,81,128
37,dark teal,101,128,127
39,bluegrey,119,122,136
85,burnt sienna,125,89,58
203,lilac,131,115,159
217,chrome yellow,189,177,93
217,pale ochre,189,177,93
236,Pink,212,160,187
247,teal,150,248,209
346,LIGHT BLUEGREEN,100,223,180
356,light blue,199,194,255
369,deep cadmium,140,24,42
439,lemon yellow,241,235,75
470,crimson,173,47,99
471,deep peach,234,107,132
516,purple,148,99,202
545,pale crimson,255,81,128
27,dark greenblue,53,76,77
69,Dark green,34,54,26
100,plum,121,86,107
100,plum,121,86,107
108,earthy green,147,153,99
120,pale pink,172,139,156
187,mossy green,136,123,41
190,forest green,96,133,69
200,blue,85,126,163
285,dull purple,99,88,148
318,Turquoise,0,165,185
329,pink,189,130,175
403,salmon pink,251,143,159
520,pink,199,74,156
536,royal blue,64,84,202
556,hot pink,248,87,163
574,hot pink,234,17,124
48,pale grey blue,159,178,185
67,khaki,57,49,2
76,dark grey blue,25,51,75
102,peach,181,138,139
176,dark greyish purple,107,54,88
176,pale purple,107,54,88
267,deep purple,93,18,59
362,pale pink,255,178,206
364,indigo,40,7,78
376,light purple,103,48,123
430,lilac,189,161,237
438,PALE YELLOW,250,232,76
499,pale green,0,231,160
506,purple,124,16,133
521,pink,209,68,136
558,lime green,49,233,55
38,bluegrey,106,125,134
39,bluish grey,119,122,136
60,off white,235,226,234
81,purplish-brown,74,37,54
144,dark brown,64,1,21
172,GREYISH-DARK-BLUE,62,68,115
184,Light brown,162,112,62
191,green,69,136,95
201,steel blue,97,124,164
296,dark salmon pink,212,125,110
364,PURPLISH DARK BLUE,40,7,78
379,purple red,125,33,99
402,Rose madder,191,88,121
440,lemon yellow,227,239,79
446,light turquoise,73,255,200
551,lilac,178,120,244
568,lilac purple,157,88,222
10,white,229,229,229
84,brown,130,86,69
117,grey,142,147,175
124,flesh pink,238,192,169
131,Light green,157,214,189
131,light green,157,214,189
137,very light mauve,193,201,228
171,dark blue,42,73,115
189,moss green,110,131,56
372,dark blue,0,73,141
459,brick red,177,50,43
470,CERISE,173,47,99
528,bright pink,255,131,206
545,hot pink,255,81,128
568,purple,157,88,222
579,purple,139,44,204
3,grey,49,49,49
16,black,16,31,26
41,grey,137,118,122
140,pale pink,225,193,208
144,brown,64,1,21
197,Aqua blue,33,134,150
235,purple,200,163,200
434,rose pink,236,147,196
469,pink,168,50,111
494,yellow,236,200,0
500,light pink,255,172,255
504,Violet,103,38,147
548,orange,255,88,64
553,pink,213,107,217
568,purple,157,88,222
1,black,0,0,0
41,dark greyish brown,137,118,122
41,light grey,137,118,122
157,pale brown,114,56,32
166,forest green,7,83,50
219,pale khaki,164,184,104
254,dark maroon,98,13,37
287,pale greyish purple,119,82,138
313,light green,15,168,139
346,Light turquoise,100,223,180
370,pale dark red,139,29,30
426,sky blue,94,182,248
458,pale red,178,47,57
474,salmon,238,109,88
35,green tea,114,126,106
37,greyish-green,101,128,127
39,grey,119,122,136
78,purple,57,43,72
92,dark blue,49,106,97
121,Greyish pink,178,138,147
141,pale-pink,231,192,199
179,greyish pink,170,104,108
207,greyish pink,163,105,127
239,cream,255,226,146
368,red,140,22,55
380,RED PURPLE,131,29,88
426,Aqua blue,94,182,248
447,emerald-green,53,255,212
451,purple,61,27,115
501,blue,31,0,101
26,dark grey,57,76,69
163,green brown,68,77,0
182,PALE-RED-ORANGE-SHADE,169,107,78
208,light red shade,166,105,121
208,pale red violetshade,166,105,121
219,green,164,184,104
308,green,112,163,70
324,light blue,133,146,203
381,Light red shade,135,26,77
402,pink shade,191,88,121
429,pale blue,172,166,245
439,yellowtint,241,235,75
450,blue,36,36,122
459,BROWN,177,50,43
38,grey blue,106,125,134
112,dark egg shell blue,100,160,147
112,duck egg blue,100,160,147
148,deep purple,41,16,58
187,sand,136,123,41
204,lilac,139,112,154
247,PALE GREEN,150,248,209
268,dirty pink,154,69,88
288,pale purple,128,79,132
314,teal,0,168,147
332,pink,205,125,145
342,Murky green,166,217,117
409,pale terracotta,242,154,79
421,turquoise,28,199,142
428,pale blue,151,171,249
449,bright turquoise,0,255,235
463,pale purple,101,82,172
494,hot yellow,236,200,0
512,terracotta,214,76,18
124,pale pink,238,192,169
141,pale pink,231,192,199
163,olive green,68,77,0
171,inky-blue,42,73,115
210,PASTEL PINK,225,158,153
227,turquoise,98,188,201
272,brown,155,72,50
333,pastel skin colour,255,185,122
336,pastel sunset yellow,239,197,97
343,light green,146,220,136
343,pastel green,146,220,136
366,Purple,55,0,69
446,Cyan,73,255,200
487,purply pink,197,121,200
506,magentapink,124,16,133
578,Mauve,112,60,216
583,pink,230,86,236
64,brown,77,38,28
128,lemongrass,201,206,147
128,light olive,201,206,147
182,rust,169,107,78
198,teal,45,133,155
231,sky blue,149,177,216
299,Orange,204,132,75
333,yelloworange,255,185,122
373,cornflower,54,65,139
478,orange,211,130,0
521,Hot pink,209,68,136
532,purple,68,3,133
535,red,197,0,22
553,pink,213,107,217
557,Pink,255,83,147
30,dudty-purple,82,67,83
33,mauve grey,138,119,104
126,oatmeal cream,223,199,149
146,Deep blue,0,28,66
161,brown sepia,89,70,0
169,medium blue,0,79,110
192,aquamarine,59,137,104
276,brown sepia,133,87,0
295,medium pink,211,124,120
343,bright yellowgreen,146,220,136
419,light green,104,196,96
456,magenta,176,45,86
464,purple,120,76,164
467,Purple,152,60,138
480,green,47,171,52
510,bright-warm-pink,220,65,74
527,Cool pink,247,136,222
73,Bottle green,0,56,59
149,violet,46,14,55
182,orange brown,169,107,78
222,leaf green,113,191,153
236,pink,212,160,187
266,purple,90,19,65
280,dark green,0,113,63
